date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2006-08-29,1330.16,1330.16,99762.0,000300.XSHG,75,沪深300
2006-08-30,1330.16,1334.67,100100.25,000300.XSHG,75,沪深300
2006-08-31,1330.16,1338.69,100401.75,000300.XSHG,75,沪深300
2006-09-01,1330.16,1318.1,0.0,000300.XSHG,0,沪深300
2006-09-04,1337.24,1337.24,97618.52,000300.XSHG,73,沪深300
2006-09-05,1337.24,1340.68,97869.64,000300.XSHG,73,沪深300
2006-09-06,1337.24,1346.37,98285.01,000300.XSHG,73,沪深300
2006-09-07,1337.24,1328.38,0.0,000300.XSHG,0,沪深300
2006-09-08,1332.15,1332.15,97246.95,000300.XSHG,73,沪深300
2006-09-11,1332.15,1338.76,97729.48,000300.XSHG,73,沪深300
2006-09-12,1332.15,1347.64,98377.72,000300.XSHG,73,沪深300
2006-09-13,1332.15,1338.39,97702.47,000300.XSHG,73,沪深300
2006-09-14,1332.15,1338.28,97694.44,000300.XSHG,73,沪深300
2006-09-15,1332.15,1362.32,99449.36,000300.XSHG,73,沪深300
2006-09-18,1332.15,1375.56,100415.88,000300.XSHG,73,沪深300
2006-09-19,1332.15,1378.31,100616.63,000300.XSHG,73,沪深300
2006-09-20,1332.15,1378.46,100627.58,000300.XSHG,73,沪深300
2006-09-21,1332.15,1387.37,101278.01,000300.XSHG,73,沪深300
2006-09-22,1332.15,1374.85,100364.05,000300.XSHG,73,沪深300
2006-09-25,1332.15,1372.4,100185.2,000300.XSHG,73,沪深300
2006-09-26,1332.15,1357.65,99108.45,000300.XSHG,73,沪深300
2006-09-27,1332.15,1371.12,100091.76,000300.XSHG,73,沪深300
2006-09-28,1332.15,1387.0,101251.0,000300.XSHG,73,沪深300
2006-09-29,1332.15,1403.26,102437.98,000300.XSHG,73,沪深300
2006-10-09,1332.15,1436.07,104833.11,000300.XSHG,73,沪深300
2006-10-10,1332.15,1437.24,104918.52,000300.XSHG,73,沪深300
2006-10-11,1332.15,1435.91,104821.43,000300.XSHG,73,沪深300
2006-10-12,1332.15,1426.5,104134.5,000300.XSHG,73,沪深300
2006-10-13,1332.15,1430.88,104454.24,000300.XSHG,73,沪深300
2006-10-16,1332.15,1418.52,103551.96,000300.XSHG,73,沪深300
2006-10-17,1332.15,1414.45,103254.85,000300.XSHG,73,沪深300
2006-10-18,1332.15,1437.59,104944.07,000300.XSHG,73,沪深300
2006-10-19,1332.15,1439.38,105074.74,000300.XSHG,73,沪深300
2006-10-20,1332.15,1440.18,105133.14,000300.XSHG,73,沪深300
2006-10-23,1332.15,1408.72,102836.56,000300.XSHG,73,沪深300
2006-10-24,1332.15,1440.05,105123.65,000300.XSHG,73,沪深300
2006-10-25,1332.15,1446.82,105617.86,000300.XSHG,73,沪深300
2006-10-26,1332.15,1456.1,106295.3,000300.XSHG,73,沪深300
2006-10-27,1332.15,1439.05,105050.65,000300.XSHG,73,沪深300
2006-10-30,1332.15,1446.24,105575.52,000300.XSHG,73,沪深300
2006-10-31,1332.15,1464.47,106906.31,000300.XSHG,73,沪深300
2006-11-01,1332.15,1479.41,107996.93,000300.XSHG,73,沪深300
2006-11-02,1332.15,1479.66,108015.18,000300.XSHG,73,沪深300
2006-11-03,1332.15,1488.29,108645.17,000300.XSHG,73,沪深300
2006-11-06,1332.15,1507.89,110075.97,000300.XSHG,73,沪深300
2006-11-07,1332.15,1516.1,110675.3,000300.XSHG,73,沪深300
2006-11-08,1332.15,1498.17,109366.41,000300.XSHG,73,沪深300
2006-11-09,1332.15,1524.71,111303.83,000300.XSHG,73,沪深300
2006-11-10,1332.15,1504.06,109796.38,000300.XSHG,73,沪深300
2006-11-13,1332.15,1475.78,107731.94,000300.XSHG,73,沪深300
2006-11-14,1332.15,1493.78,109045.94,000300.XSHG,73,沪深300
2006-11-15,1332.15,1534.76,112037.48,000300.XSHG,73,沪深300
2006-11-16,1332.15,1533.29,111930.17,000300.XSHG,73,沪深300
2006-11-17,1332.15,1562.08,114031.84,000300.XSHG,73,沪深300
2006-11-20,1332.15,1593.16,116300.68,000300.XSHG,73,沪深300
2006-11-21,1332.15,1612.25,117694.25,000300.XSHG,73,沪深300
2006-11-22,1332.15,1624.03,118554.19,000300.XSHG,73,沪深300
2006-11-23,1332.15,1634.91,119348.43,000300.XSHG,73,沪深300
2006-11-24,1332.15,1636.58,119470.34,000300.XSHG,73,沪深300
2006-11-27,1332.15,1651.8,120581.4,000300.XSHG,73,沪深300
2006-11-28,1332.15,1644.01,120012.73,000300.XSHG,73,沪深300
2006-11-29,1332.15,1667.14,121701.22,000300.XSHG,73,沪深300
2006-11-30,1332.15,1714.36,125148.28,000300.XSHG,73,沪深300
2006-12-01,1332.15,1729.22,126233.06,000300.XSHG,73,沪深300
2006-12-04,1332.15,1780.74,129994.02,000300.XSHG,73,沪深300
2006-12-05,1332.15,1794.23,130978.79,000300.XSHG,73,沪深300
2006-12-06,1332.15,1779.41,129896.93,000300.XSHG,73,沪深300
2006-12-07,1332.15,1775.71,129626.83,000300.XSHG,73,沪深300
2006-12-08,1332.15,1711.58,124945.34,000300.XSHG,73,沪深300
2006-12-11,1332.15,1789.92,130664.16,000300.XSHG,73,沪深300
2006-12-12,1332.15,1802.79,131603.67,000300.XSHG,73,沪深300
2006-12-13,1332.15,1803.86,131681.78,000300.XSHG,73,沪深300
2006-12-14,1332.15,1836.14,134038.22,000300.XSHG,73,沪深300
2006-12-15,1332.15,1867.64,136337.72,000300.XSHG,73,沪深300
2006-12-18,1332.15,1916.11,139876.03,000300.XSHG,73,沪深300
2006-12-19,1332.15,1921.44,140265.12,000300.XSHG,73,沪深300
2006-12-20,1332.15,1936.55,141368.15,000300.XSHG,73,沪深300
2006-12-21,1332.15,1908.98,139355.54,000300.XSHG,73,沪深300
2006-12-22,1332.15,1895.64,138381.72,000300.XSHG,73,沪深300
2006-12-25,1332.15,1939.1,141554.3,000300.XSHG,73,沪深300
2006-12-26,1332.15,1938.24,141491.52,000300.XSHG,73,沪深300
2006-12-27,1332.15,1982.88,144750.24,000300.XSHG,73,沪深300
2006-12-28,1332.15,1979.93,144534.89,000300.XSHG,73,沪深300
2006-12-29,1332.15,2041.05,148996.65,000300.XSHG,73,沪深300
2007-01-04,1332.15,2067.09,150897.57,000300.XSHG,73,沪深300
2007-01-05,1332.15,2072.88,151320.24,000300.XSHG,73,沪深300
2007-01-08,1332.15,2131.56,155603.88,000300.XSHG,73,沪深300
2007-01-09,1332.15,2200.09,160606.57,000300.XSHG,73,沪深300
2007-01-10,1332.15,2255.97,164685.81,000300.XSHG,73,沪深300
2007-01-11,1332.15,2231.63,162908.99,000300.XSHG,73,沪深300
2007-01-12,1332.15,2173.75,158683.75,000300.XSHG,73,沪深300
2007-01-15,1332.15,2287.34,166975.82,000300.XSHG,73,沪深300
2007-01-16,1332.15,2353.87,171832.51,000300.XSHG,73,沪深300
2007-01-17,1332.15,2308.93,168551.89,000300.XSHG,73,沪深300
2007-01-18,1332.15,2317.09,169147.57,000300.XSHG,73,沪深300
2007-01-19,1332.15,2396.09,174914.57,000300.XSHG,73,沪深300
2007-01-22,1332.15,2491.31,181865.63,000300.XSHG,73,沪深300
2007-01-23,1332.15,2508.13,183093.49,000300.XSHG,73,沪深300
2007-01-24,1332.15,2536.43,185159.39,000300.XSHG,73,沪深300
2007-01-25,1332.15,2452.83,179056.59,000300.XSHG,73,沪深300
2007-01-26,1332.15,2512.92,183443.16,000300.XSHG,73,沪深300
2007-01-29,1332.15,2576.92,188115.16,000300.XSHG,73,沪深300
2007-01-30,1332.15,2551.88,186287.24,000300.XSHG,73,沪深300
2007-01-31,1332.15,2385.34,174129.82,000300.XSHG,73,沪深300
2007-02-01,1332.15,2395.17,174847.41,000300.XSHG,73,沪深300
2007-02-02,1332.15,2298.0,167754.0,000300.XSHG,73,沪深300
2007-02-05,1332.15,2271.8,165841.4,000300.XSHG,73,沪深300
2007-02-06,1332.15,2316.04,169070.92,000300.XSHG,73,沪深300
2007-02-07,1332.15,2369.79,172994.67,000300.XSHG,73,沪深300
2007-02-08,1332.15,2410.6,175973.8,000300.XSHG,73,沪深300
2007-02-09,1332.15,2397.25,174999.25,000300.XSHG,73,沪深300
2007-02-12,1332.15,2485.39,181433.47,000300.XSHG,73,沪深300
2007-02-13,1332.15,2522.63,184151.99,000300.XSHG,73,沪深300
2007-02-14,1332.15,2588.35,188949.55,000300.XSHG,73,沪深300
2007-02-15,1332.15,2668.63,194809.99,000300.XSHG,73,沪深300
2007-02-16,1332.15,2676.74,195402.02,000300.XSHG,73,沪深300
2007-02-26,1332.15,2707.68,197660.64,000300.XSHG,73,沪深300
2007-02-27,1332.15,2457.49,179396.77,000300.XSHG,73,沪深300
2007-02-28,1332.15,2544.57,185753.61,000300.XSHG,73,沪深300
2007-03-01,1332.15,2473.54,180568.42,000300.XSHG,73,沪深300
2007-03-02,1332.15,2508.73,183137.29,000300.XSHG,73,沪深300
2007-03-05,1332.15,2475.61,180719.53,000300.XSHG,73,沪深300
2007-03-06,1332.15,2520.29,183981.17,000300.XSHG,73,沪深300
2007-03-07,1332.15,2589.44,189029.12,000300.XSHG,73,沪深300
2007-03-08,1332.15,2627.63,191816.99,000300.XSHG,73,沪深300
2007-03-09,1332.15,2611.39,190631.47,000300.XSHG,73,沪深300
2007-03-12,1332.15,2616.17,190980.41,000300.XSHG,73,沪深300
2007-03-13,1332.15,2640.17,192732.41,000300.XSHG,73,沪深300
2007-03-14,1332.15,2597.36,189607.28,000300.XSHG,73,沪深300
2007-03-15,1332.15,2645.55,193125.15,000300.XSHG,73,沪深300
2007-03-16,1332.15,2604.23,190108.79,000300.XSHG,73,沪深300
2007-03-19,1332.15,2659.41,194136.93,000300.XSHG,73,沪深300
2007-03-20,1332.15,2672.77,195112.21,000300.XSHG,73,沪深300
2007-03-21,1332.15,2702.6,197289.8,000300.XSHG,73,沪深300
2007-03-22,1332.15,2711.32,197926.36,000300.XSHG,73,沪深300
2007-03-23,1332.15,2716.27,198287.71,000300.XSHG,73,沪深300
2007-03-26,1332.15,2764.03,201774.19,000300.XSHG,73,沪深300
2007-03-27,1332.15,2784.02,203233.46,000300.XSHG,73,沪深300
2007-03-28,1332.15,2797.65,204228.45,000300.XSHG,73,沪深300
2007-03-29,1332.15,2783.3,203180.9,000300.XSHG,73,沪深300
2007-03-30,1332.15,2781.78,203069.94,000300.XSHG,73,沪深300
2007-04-02,1332.15,2850.11,208058.03,000300.XSHG,73,沪深300
2007-04-03,1332.15,2888.11,210832.03,000300.XSHG,73,沪深300
2007-04-04,1332.15,2911.82,212562.86,000300.XSHG,73,沪深300
2007-04-05,1332.15,2945.04,214987.92,000300.XSHG,73,沪深300
2007-04-06,1332.15,2972.01,216956.73,000300.XSHG,73,沪深300
2007-04-09,1332.15,3038.17,221786.41,000300.XSHG,73,沪深300
2007-04-10,1332.15,3081.57,224954.61,000300.XSHG,73,沪深300
2007-04-11,1332.15,3121.32,227856.36,000300.XSHG,73,沪深300
2007-04-12,1332.15,3176.44,231880.12,000300.XSHG,73,沪深300
2007-04-13,1332.15,3169.23,231353.79,000300.XSHG,73,沪深300
2007-04-16,1332.15,3256.0,237688.0,000300.XSHG,73,沪深300
2007-04-17,1332.15,3283.6,239702.8,000300.XSHG,73,沪深300
2007-04-18,1332.15,3304.5,241228.5,000300.XSHG,73,沪深300
2007-04-19,1332.15,3150.3,229971.9,000300.XSHG,73,沪深300
2007-04-20,1332.15,3289.28,240117.44,000300.XSHG,73,沪深300
2007-04-23,1332.15,3431.32,250486.36,000300.XSHG,73,沪深300
2007-04-24,1332.15,3445.2,251499.6,000300.XSHG,73,沪深300
2007-04-25,1332.15,3448.28,251724.44,000300.XSHG,73,沪深300
2007-04-26,1332.15,3493.58,255031.34,000300.XSHG,73,沪深300
2007-04-27,1332.15,3470.52,253347.96,000300.XSHG,73,沪深300
2007-04-30,1332.15,3558.71,259785.83,000300.XSHG,73,沪深300
2007-05-08,1332.15,3686.03,269080.19,000300.XSHG,73,沪深300
2007-05-09,1332.15,3701.28,270193.44,000300.XSHG,73,沪深300
2007-05-10,1332.15,3724.51,271889.23,000300.XSHG,73,沪深300
2007-05-11,1332.15,3702.61,270290.53,000300.XSHG,73,沪深300
2007-05-14,1332.15,3734.42,272612.66,000300.XSHG,73,沪深300
2007-05-15,1332.15,3604.64,263138.72,000300.XSHG,73,沪深300
2007-05-16,1332.15,3700.29,270121.17,000300.XSHG,73,沪深300
2007-05-17,1332.15,3778.6,275837.8,000300.XSHG,73,沪深300
2007-05-18,1332.15,3776.63,275693.99,000300.XSHG,73,沪深300
2007-05-21,1332.15,3831.44,279695.12,000300.XSHG,73,沪深300
2007-05-22,1332.15,3870.49,282545.77,000300.XSHG,73,沪深300
2007-05-23,1332.15,3938.95,287543.35,000300.XSHG,73,沪深300
2007-05-24,1332.15,3919.75,286141.75,000300.XSHG,73,沪深300
2007-05-25,1332.15,3985.25,290923.25,000300.XSHG,73,沪深300
2007-05-28,1332.15,4072.58,297298.34,000300.XSHG,73,沪深300
2007-05-29,1332.15,4168.29,304285.17,000300.XSHG,73,沪深300
2007-05-30,1332.15,3886.46,283711.58,000300.XSHG,73,沪深300
2007-05-31,1332.15,3927.95,286740.35,000300.XSHG,73,沪深300
2007-06-01,1332.15,3803.95,277688.35,000300.XSHG,73,沪深300
2007-06-04,1332.15,3511.43,256334.39,000300.XSHG,73,沪深300
2007-06-05,1332.15,3634.63,265327.99,000300.XSHG,73,沪深300
2007-06-06,1332.15,3677.58,268463.34,000300.XSHG,73,沪深300
2007-06-07,1332.15,3802.3,277567.9,000300.XSHG,73,沪深300
2007-06-08,1332.15,3837.87,280164.51,000300.XSHG,73,沪深300
2007-06-11,1332.15,3931.86,287025.78,000300.XSHG,73,沪深300
2007-06-12,1332.15,4036.11,294636.03,000300.XSHG,73,沪深300
2007-06-13,1332.15,4118.27,300633.71,000300.XSHG,73,沪深300
2007-06-14,1332.15,4075.82,297534.86,000300.XSHG,73,沪深300
2007-06-15,1332.15,4099.38,299254.74,000300.XSHG,73,沪深300
2007-06-18,1332.15,4227.57,308612.61,000300.XSHG,73,沪深300
2007-06-19,1332.15,4253.0,310469.0,000300.XSHG,73,沪深300
2007-06-20,1332.15,4157.6,303504.8,000300.XSHG,73,沪深300
2007-06-21,1332.15,4197.28,306401.44,000300.XSHG,73,沪深300
2007-06-22,1332.15,4051.43,295754.39,000300.XSHG,73,沪深300
2007-06-25,1332.15,3877.59,283064.07,000300.XSHG,73,沪深300
2007-06-26,1332.15,3928.21,286759.33,000300.XSHG,73,沪深300
2007-06-27,1332.15,4040.48,294955.04,000300.XSHG,73,沪深300
2007-06-28,1332.15,3858.52,281671.96,000300.XSHG,73,沪深300
2007-06-29,1332.15,3764.08,274777.84,000300.XSHG,73,沪深300
2007-07-02,1332.15,3757.66,274309.18,000300.XSHG,73,沪深300
2007-07-03,1332.15,3832.23,279752.79,000300.XSHG,73,沪深300
2007-07-04,1332.15,3743.58,273281.34,000300.XSHG,73,沪深300
2007-07-05,1332.15,3537.44,0.0,000300.XSHG,0,沪深300
2007-07-09,3821.3,3821.3,256027.1,000300.XSHG,67,沪深300
2007-07-10,3821.3,3775.62,252966.54,000300.XSHG,67,沪深300
2007-07-11,3821.3,3789.87,253921.29,000300.XSHG,67,沪深300
2007-07-12,3821.3,3816.92,255733.64,000300.XSHG,67,沪深300
2007-07-13,3821.3,3820.12,255948.04,000300.XSHG,67,沪深300
2007-07-16,3821.3,3697.97,0.0,000300.XSHG,0,沪深300
2007-07-18,3807.57,3807.57,247492.05,000300.XSHG,65,沪深300
2007-07-19,3807.57,3807.0,0.0,000300.XSHG,0,沪深300
2007-07-20,3971.88,3971.88,246256.56,000300.XSHG,62,沪深300
2007-07-23,3971.88,4156.72,257716.64,000300.XSHG,62,沪深300
2007-07-24,3971.88,4161.35,258003.7,000300.XSHG,62,沪深300
2007-07-25,3971.88,4255.46,263838.52,000300.XSHG,62,沪深300
2007-07-26,3971.88,4303.19,266797.78,000300.XSHG,62,沪深300
2007-07-27,3971.88,4307.14,267042.68,000300.XSHG,62,沪深300
2007-07-30,3971.88,4410.3,273438.6,000300.XSHG,62,沪深300
2007-07-31,3971.88,4460.56,276554.72,000300.XSHG,62,沪深300
2007-08-01,3971.88,4290.48,266009.76,000300.XSHG,62,沪深300
2007-08-02,3971.88,4436.19,275043.78,000300.XSHG,62,沪深300
2007-08-03,3971.88,4598.38,285099.56,000300.XSHG,62,沪深300
2007-08-06,3971.88,4703.98,291646.76,000300.XSHG,62,沪深300
2007-08-07,3971.88,4724.55,292922.1,000300.XSHG,62,沪深300
2007-08-08,3971.88,4668.09,289421.58,000300.XSHG,62,沪深300
2007-08-09,3971.88,4777.29,296191.98,000300.XSHG,62,沪深300
2007-08-10,3971.88,4726.68,293054.16,000300.XSHG,62,沪深300
2007-08-13,3971.88,4721.19,292713.78,000300.XSHG,62,沪深300
2007-08-14,3971.88,4795.57,297325.34,000300.XSHG,62,沪深300
2007-08-15,3971.88,4798.75,297522.5,000300.XSHG,62,沪深300
2007-08-16,3971.88,4721.94,292760.28,000300.XSHG,62,沪深300
2007-08-17,3971.88,4626.58,286847.96,000300.XSHG,62,沪深300
2007-08-20,3971.88,4885.43,302896.66,000300.XSHG,62,沪深300
2007-08-21,3971.88,4972.71,308308.02,000300.XSHG,62,沪深300
2007-08-22,3971.88,5051.69,313204.78,000300.XSHG,62,沪深300
2007-08-23,3971.88,5135.93,318427.66,000300.XSHG,62,沪深300
2007-08-24,3971.88,5217.58,323489.96,000300.XSHG,62,沪深300
2007-08-27,3971.88,5243.15,325075.3,000300.XSHG,62,沪深300
2007-08-28,3971.88,5251.77,325609.74,000300.XSHG,62,沪深300
2007-08-29,3971.88,5171.82,320652.84,000300.XSHG,62,沪深300
2007-08-30,3971.88,5241.23,324956.26,000300.XSHG,62,沪深300
2007-08-31,3971.88,5296.81,328402.22,000300.XSHG,62,沪深300
2007-09-03,3971.88,5419.17,335988.54,000300.XSHG,62,沪深300
2007-09-04,3971.88,5360.33,332340.46,000300.XSHG,62,沪深300
2007-09-05,3971.88,5363.25,332521.5,000300.XSHG,62,沪深300
2007-09-06,3971.88,5412.04,335546.48,000300.XSHG,62,沪深300
2007-09-07,3971.88,5294.79,328276.98,000300.XSHG,62,沪深300
2007-09-10,3971.88,5377.22,333387.64,000300.XSHG,62,沪深300
2007-09-11,3971.88,5124.09,317693.58,000300.XSHG,62,沪深300
2007-09-12,3971.88,5202.86,322577.32,000300.XSHG,62,沪深300
2007-09-13,3971.88,5349.97,331698.14,000300.XSHG,62,沪深300
2007-09-14,3971.88,5397.28,334631.36,000300.XSHG,62,沪深300
2007-09-17,3971.88,5498.91,340932.42,000300.XSHG,62,沪深300
2007-09-18,3971.88,5476.84,339564.08,000300.XSHG,62,沪深300
2007-09-19,3971.88,5419.27,335994.74,000300.XSHG,62,沪深300
2007-09-20,3971.88,5494.92,340685.04,000300.XSHG,62,沪深300
2007-09-21,3971.88,5468.1,339022.2,000300.XSHG,62,沪深300
2007-09-24,3971.88,5513.9,341861.8,000300.XSHG,62,沪深300
2007-09-25,3971.88,5454.62,338186.44,000300.XSHG,62,沪深300
2007-09-26,3971.88,5361.02,332383.24,000300.XSHG,62,沪深300
2007-09-27,3971.88,5427.66,336514.92,000300.XSHG,62,沪深300
2007-09-28,3971.88,5580.81,346010.22,000300.XSHG,62,沪深300
2007-10-08,3971.88,5653.14,350494.68,000300.XSHG,62,沪深300
2007-10-09,3971.88,5675.93,351907.66,000300.XSHG,62,沪深300
2007-10-10,3971.88,5685.76,352517.12,000300.XSHG,62,沪深300
2007-10-11,3971.88,5760.08,357124.96,000300.XSHG,62,沪深300
2007-10-12,3971.88,5737.22,355707.64,000300.XSHG,62,沪深300
2007-10-15,3971.88,5821.45,360929.9,000300.XSHG,62,沪深300
2007-10-16,3971.88,5877.2,364386.4,000300.XSHG,62,沪深300
2007-10-17,3971.88,5824.12,361095.44,000300.XSHG,62,沪深300
2007-10-18,3971.88,5615.75,348176.5,000300.XSHG,62,沪深300
2007-10-19,3971.88,5614.06,348071.72,000300.XSHG,62,沪深300
2007-10-22,3971.88,5472.68,339306.16,000300.XSHG,62,沪深300
2007-10-23,3971.88,5540.09,343485.58,000300.XSHG,62,沪深300
2007-10-24,3971.88,5588.01,346456.62,000300.XSHG,62,沪深300
2007-10-25,3971.88,5333.79,330694.98,000300.XSHG,62,沪深300
2007-10-26,3971.88,5394.81,334478.22,000300.XSHG,62,沪深300
2007-10-29,3971.88,5508.36,341518.32,000300.XSHG,62,沪深300
2007-10-30,3971.88,5596.07,346956.34,000300.XSHG,62,沪深300
2007-10-31,3971.88,5688.54,352689.48,000300.XSHG,62,沪深300
2007-11-01,3971.88,5605.23,347524.26,000300.XSHG,62,沪深300
2007-11-02,3971.88,5472.93,339321.66,000300.XSHG,62,沪深300
2007-11-05,3971.88,5360.31,332339.22,000300.XSHG,62,沪深300
2007-11-06,3971.88,5317.55,0.0,000300.XSHG,0,沪深300
2007-12-26,5265.03,5265.03,331696.89,000300.XSHG,63,沪深300
2007-12-27,5265.03,5367.53,338154.39,000300.XSHG,63,沪深300
2007-12-28,5265.03,5338.27,336311.01,000300.XSHG,63,沪深300
2008-01-02,5265.03,5385.1,339261.3,000300.XSHG,63,沪深300
2008-01-03,5265.03,5422.03,341587.89,000300.XSHG,63,沪深300
2008-01-04,5265.03,5483.65,345469.95,000300.XSHG,63,沪深300
2008-01-07,5265.03,5556.59,350065.17,000300.XSHG,63,沪深300
2008-01-08,5265.03,5528.05,348267.15,000300.XSHG,63,沪深300
2008-01-09,5265.03,5613.76,353666.88,000300.XSHG,63,沪深300
